date,value,maxvalue,minvalue
2020-01-02,14580,14560,14600
2020-01-03,14550,14530,14570
2020-01-06,14530,14510,14550
2020-01-07,14450,14430,14470
2020-01-08,14460,14440,14480
2020-01-09,14470,14450,14490
2020-01-10,14530,14510,14550
2020-01-13,14390,14370,14410
2020-01-14,14290,14270,14310
2020-01-15,14190,14170,14210
2020-01-16,14300,14280,14320
2020-01-17,14550,14530,14570
2020-01-20,14350,14330,14370
2020-01-21,14120,14100,14140
2020-01-22,14080,14060,14100
2020-01-23,14090,14070,14110
2020-02-03,13590,13570,13610
2020-02-04,13440,13420,13460
2020-02-05,13450,13430,13470
2020-02-06,13500,13480,13520
2020-02-07,13550,13530,13570
2020-02-10,13590,13570,13610
2020-02-11,13730,13710,13750
2020-02-12,13640,13620,13660
2020-02-13,13600,13580,13620
2020-02-14,13580,13560,13600
2020-02-17,13540,13520,13560
2020-02-18,13610,13590,13630
2020-02-19,13610,13590,13630
2020-02-20,13580,13560,13600
2020-02-21,13530,13510,13550
2020-02-24,13400,13380,13420
2020-02-25,13410,13390,13430
2020-02-26,13440,13420,13460
2020-02-27,13380,13360,13400
2020-02-28,13160,13140,13180
2020-03-02,13040,13020,13060
2020-03-03,13140,13120,13160
2020-03-04,13000,12980,13020
2020-03-05,13060,13040,13080
2020-03-06,13080,13060,13100
2020-03-09,12820,12800,12840
2020-03-10,12820,12800,12840
2020-03-11,12810,12790,12830
2020-03-12,12740,12720,12760
2020-03-13,12650,12630,12670
2020-03-16,12750,12730,12770
2020-03-17,12590,12570,12610
2020-03-18,12510,12490,12530
2020-03-19,11720,11700,11740
2020-03-20,11790,11770,11810
2020-03-23,11200,11180,11220
2020-03-24,11200,11180,11220
2020-03-25,11320,11300,11340
2020-03-26,11530,11510,11550
2020-03-27,11510,11490,11530
2020-03-30,11460,11440,11480
2020-03-31,11480,11460,11500
2020-04-01,11510,11490,11530
2020-04-02,11280,11260,11300
2020-04-03,11580,11560,11600
2020-04-07,11650,11630,11670
2020-04-08,11560,11540,11580
2020-04-09,11600,11580,11620
2020-04-10,11720,11700,11740
2020-04-13,11770,11750,11790
2020-04-14,11810,11790,11830
2020-04-15,11900,11880,11920
2020-04-16,12000,11980,12020
2020-04-17,12150,12130,12170
2020-04-20,12500,12480,12520
2020-04-21,12250,12230,12270
2020-04-22,12250,12230,12270
2020-04-23,12490,12470,12510
2020-04-24,12450,12430,12470
2020-04-27,12500,12480,12520
2020-04-28,12590,12570,12610
2020-04-29,12800,12780,12820
2020-04-30,12800,12780,12820
2020-05-06,12970,12950,12990
2020-05-07,12960,12940,12980
2020-05-08,12830,12810,12850
2020-05-11,13040,13020,13060
2020-05-12,13040,13020,13060
2020-05-13,12760,12740,12780
2020-05-14,12780,12760,12800
2020-05-15,13020,13000,13040
2020-05-18,13150,13130,13170
2020-05-19,13500,13480,13520
2020-05-20,13470,13450,13490
