date,value,maxvalue,minvalue
2020-01-02,2435,2410,2460
2020-01-03,2435,2410,2460
2020-01-06,2435,2410,2460
2020-01-07,2435,2410,2460
2020-01-08,2435,2410,2460
2020-01-09,2435,2410,2460
2020-01-10,2435,2410,2460
2020-01-13,2435,2410,2460
2020-01-14,2445,2420,2470
2020-01-15,2450,2430,2470
2020-01-16,2450,2430,2470
2020-01-17,2450,2430,2470
2020-01-20,2450,2430,2470
2020-01-21,2450,2430,2470
2020-01-22,2450,2430,2470
2020-01-23,2450,2430,2470
2020-02-03,2450,2430,2470
2020-02-04,2450,2430,2470
2020-02-05,2450,2430,2470
2020-02-06,2450,2430,2470
2020-02-07,2460,2440,2480
2020-02-10,2480,2460,2500
2020-02-11,2480,2460,2500
2020-02-12,2480,2460,2500
2020-02-13,2485,2470,2500
2020-02-14,2490,2470,2510
2020-02-17,2490,2470,2510
2020-02-18,2495,2470,2520
2020-02-19,2500,2480,2520
2020-02-20,2505,2480,2530
2020-02-21,2510,2490,2530
2020-02-24,2520,2500,2540
2020-02-25,2520,2500,2540
2020-02-26,2525,2500,2550
2020-02-27,2530,2510,2550
2020-02-28,2570,2540,2600
2020-03-02,2580,2550,2610
2020-03-03,2585,2560,2610
2020-03-04,2585,2560,2610
2020-03-05,2585,2560,2610
2020-03-06,2585,2560,2610
2020-03-09,2585,2560,2610
2020-03-10,2585,2560,2610
2020-03-11,2585,2560,2610
2020-03-12,2585,2560,2610
2020-03-13,2585,2560,2610
2020-03-16,2585,2560,2610
2020-03-17,2585,2560,2610
2020-03-18,2585,2560,2610
2020-03-19,2565,2540,2590
2020-03-20,2560,2540,2580
2020-03-23,2550,2530,2570
2020-03-24,2530,2510,2550
2020-03-25,2450,2430,2470
2020-03-26,2420,2400,2440
2020-03-27,2380,2360,2400
2020-03-30,2350,2330,2370
2020-03-31,2350,2330,2370
2020-04-01,2340,2320,2360
2020-04-02,2280,2260,2300
2020-04-03,2260,2240,2280
2020-04-07,2235,2210,2260
2020-04-08,2175,2150,2200
2020-04-09,2155,2130,2180
2020-04-10,2125,2100,2150
2020-04-13,2100,2070,2130
2020-04-14,2080,2050,2110
2020-04-15,2080,2050,2110
2020-04-16,2070,2040,2100
2020-04-17,2070,2040,2100
2020-04-20,2070,2040,2100
2020-04-21,2080,2050,2110
2020-04-22,2090,2060,2120
2020-04-23,2100,2070,2130
2020-04-24,2110,2080,2140
2020-04-27,2110,2080,2140
2020-04-28,2130,2100,2160
2020-04-29,2130,2100,2160
2020-04-30,2140,2110,2170
2020-05-06,2150,2120,2180
2020-05-07,2150,2120,2180
2020-05-08,2150,2120,2180
2020-05-11,2175,2140,2210
2020-05-12,2175,2140,2210
2020-05-13,2180,2150,2210
2020-05-14,2185,2160,2210
2020-05-15,2195,2170,2220
2020-05-18,2200,2180,2220
2020-05-19,2200,2180,2220
2020-05-20,2200,2180,2220
2020-05-21,2200,2180,2220
2020-05-22,2200,2180,2220
2020-05-25,2200,2180,2220
2020-05-26,2200,2180,2220
2020-05-27,2200,2180,2220
2020-05-28,2200,2180,2220
2020-05-29,2200,2180,2220
2020-06-01,2200,2180,2220
2020-06-02,2200,2180,2220
2020-06-03,2210,2190,2230
