date,value
2020-01-02,2370.0
2020-01-03,2370.0
2020-01-06,2370.0
2020-01-07,2370.0
2020-01-08,2370.0
2020-01-09,2370.0
2020-01-10,2370.0
2020-01-13,2370.0
2020-01-14,2370.0
2020-01-15,2370.0
2020-01-16,2370.0
2020-01-17,2370.0
2020-01-20,2370.0
2020-01-21,2370.0
2020-01-22,2370.0
2020-01-23,2370.0
2020-02-03,2370.0
2020-02-04,2370.0
2020-02-05,2370.0
2020-02-06,2370.0
2020-02-07,2380.0
2020-02-10,2390.0
2020-02-11,2405.0
2020-02-12,2405.0
2020-02-13,2410.0
2020-02-14,2415.0
2020-02-17,2425.0
2020-02-18,2430.0
2020-02-19,2445.0
2020-02-20,2455.0
2020-02-21,2470.0
2020-02-24,2475.0
2020-02-25,2480.0
2020-02-26,2490.0
2020-02-27,2500.0
2020-02-28,2520.0
2020-03-02,2530.0
2020-03-03,2535.0
2020-03-04,2535.0
2020-03-05,2535.0
2020-03-06,2540.0
2020-03-09,2540.0
2020-03-10,2540.0
2020-03-11,2540.0
2020-03-12,2540.0
2020-03-13,2540.0
2020-03-16,2535.0
2020-03-17,2535.0
2020-03-18,2535.0
2020-03-19,2510.0
2020-03-20,2500.0
2020-03-23,2485.0
2020-03-24,2465.0
2020-03-25,2445.0
2020-03-26,2380.0
2020-03-27,2380.0
2020-03-30,2370.0
2020-03-31,2355.0
2020-04-01,2340.0
2020-04-02,2320.0
2020-04-03,2290.0
2020-04-07,2240.0
2020-04-08,2190.0
2020-04-09,2150.0
2020-04-10,2140.0
2020-04-13,2100.0
2020-04-14,2090.0
2020-04-15,2080.0
2020-04-16,2065.0
2020-04-17,2065.0
2020-04-20,2065.0
2020-04-21,2080.0
2020-04-22,2095.0
2020-04-23,2105.0
2020-04-24,2120.0
2020-04-27,2120.0
2020-04-28,2145.0
2020-04-29,2170.0
2020-04-30,2170.0
2020-05-06,2180.0
2020-05-07,2180.0
2020-05-08,2180.0
2020-05-11,2180.0
2020-05-12,2180.0
2020-05-13,2180.0
2020-05-14,2180.0
2020-05-15,2180.0
2020-05-18,2180.0
2020-05-19,2190.0
2020-05-20,2190.0
2020-05-21,2190.0
2020-05-22,2190.0
2020-05-25,2210.0
2020-05-26,2210.0
2020-05-27,2210.0
2020-05-28,2210.0
2020-05-29,2210.0
2020-06-01,2210.0
2020-06-02,2210.0
2020-06-03,2210.0
2020-06-04,2220.0
2020-06-05,2220.0
2020-06-08,2220.0
2020-06-09,2220.0
2020-06-10,2220.0
2020-06-11,2225.0
2020-06-12,2250.0
2020-06-15,2255.0
2020-06-16,2255.0
2020-06-17,2260.0
2020-06-18,2270.0
2020-06-19,2270.0
2020-06-22,2270.0
2020-06-23,2270.0
2020-06-24,2270.0
2020-06-29,2280.0
2020-06-30,2280.0
2020-07-01,2285.0
2020-07-02,2285.0
2020-07-03,2295.0
2020-07-06,2305.0
2020-07-07,2315.0
2020-07-08,2335.0
2020-07-09,2385.0
2020-07-10,2435.0
2020-07-13,2465.0
2020-07-14,2480.0
2020-07-15,2495.0
2020-07-16,2495.0
2020-07-17,2495.0
2020-07-20,2495.0
2020-07-21,2495.0
2020-07-22,2495.0
2020-07-23,2495.0
2020-07-24,2495.0
2020-07-27,2495.0
2020-07-28,2465.0
2020-07-29,2445.0
2020-07-30,2445.0
2020-07-31,2430.0
2020-08-03,2405.0
2020-08-04,2385.0
2020-08-05,2375.0
2020-08-06,2370.0
2020-08-07,2365.0
2020-08-10,2365.0
2020-08-11,2355.0
2020-08-12,2355.0
2020-08-13,2355.0
2020-08-14,2355.0
2020-08-17,2355.0
2020-08-18,2350.0
2020-08-19,2340.0
2020-08-20,2340.0
2020-08-21,2340.0
2020-08-24,2355.0
2020-08-25,2375.0
2020-08-26,2375.0
2020-08-27,2375.0
2020-08-28,2375.0
2020-08-31,2375.0
2020-09-01,2375.0
2020-09-02,2375.0
2020-09-03,2375.0
2020-09-04,2375.0
2020-09-07,2375.0
2020-09-08,2360.0
2020-09-09,2345.0
2020-09-10,2345.0
2020-09-11,2345.0
2020-09-14,2345.0
2020-09-15,2345.0
2020-09-16,2345.0
2020-09-17,2345.0
2020-09-18,2345.0
2020-09-21,2345.0
2020-09-22,2345.0
2020-09-23,2345.0
2020-09-24,2345.0
2020-09-25,2345.0
2020-09-28,2345.0
2020-09-29,2345.0
2020-09-30,2345.0
2020-10-09,2345.0
2020-10-12,2345.0
2020-10-13,2345.0
2020-10-14,2345.0
2020-10-15,2345.0
2020-10-16,2345.0
2020-10-19,2345.0
2020-10-20,2345.0
2020-10-21,2345.0
2020-10-22,2345.0
2020-10-23,2345.0
2020-10-26,2345.0
2020-10-27,2345.0
2020-10-28,2345.0
2020-10-29,2345.0
2020-10-30,2345.0
2020-11-02,2345.0
2020-11-03,2345.0
2020-11-04,2345.0
2020-11-05,2345.0
2020-11-06,2345.0
2020-11-09,2325.0
2020-11-10,2325.0
2020-11-11,2325.0
2020-11-12,2315.0
2020-11-13,2310.0
2020-11-16,2300.0
2020-11-17,2300.0
2020-11-18,2300.0
2020-11-19,2300.0
2020-11-20,2300.0
2020-11-23,2300.0
2020-11-24,2300.0
2020-11-25,2300.0
2020-11-26,2300.0
2020-11-27,2300.0
2020-11-30,2300.0
2020-12-01,2300.0
2020-12-02,2295.0
2020-12-03,2295.0
2020-12-04,2290.0
2020-12-07,2290.0
2020-12-08,2290.0
2020-12-09,2290.0
2020-12-10,2290.0
2020-12-11,2290.0
2020-12-14,2290.0
2020-12-15,2290.0
2020-12-16,2290.0
2020-12-17,2290.0
2020-12-18,2290.0
2020-12-21,2290.0
2020-12-22,2290.0
2020-12-23,2290.0
2020-12-24,2290.0
2020-12-25,2290.0
2020-12-28,2290.0
2020-12-29,2290.0
2020-12-30,2290.0
2020-12-31,2290.0
2021-01-04,2290.0
2021-01-05,2290.0
2021-01-06,2290.0
2021-01-07,2290.0
2021-01-08,2290.0
2021-01-11,2290.0
2021-01-12,2290.0
2021-01-13,2290.0
2021-01-14,2310.0
2021-01-15,2310.0
2021-01-18,2315.0
2021-01-19,2315.0
2021-01-20,2315.0
2021-01-21,2315.0
2021-01-22,2320.0
2021-01-25,2340.0
2021-01-26,2340.0
2021-01-27,2350.0
2021-01-28,2355.0
2021-01-29,2360.0
2021-02-01,2360.0
2021-02-02,2360.0
2021-02-03,2360.0
2021-02-04,2360.0
2021-02-05,2360.0
2021-02-08,2360.0
2021-02-09,2360.0
2021-02-10,2360.0
2021-02-18,2360.0
2021-02-19,2360.0
2021-02-22,2360.0
2021-02-23,2350.0
2021-02-24,2350.0
2021-02-25,2350.0
2021-02-26,2350.0
2021-03-01,2350.0
2021-03-02,2350.0
2021-03-03,2350.0
2021-03-04,2350.0
2021-03-05,2350.0
2021-03-08,2350.0
2021-03-09,2350.0
2021-03-10,2350.0
2021-03-11,2350.0
2021-03-12,2350.0
2021-03-15,2350.0
2021-03-16,2350.0
2021-03-17,2350.0
2021-03-18,2350.0
2021-03-19,2350.0
