date,value
2021-1-1,57880
2021-1-2,57891
2021-1-3,57982
2021-1-4,58020
2021-1-5,58085
2021-1-6,59160
2021-1-7,59290
2021-1-8,60330
2021-1-9,59960
2021-1-10,59560
2021-1-11,59460
2021-1-12,58200
2021-1-13,58820
2021-1-14,58665
2021-1-15,59630
2021-1-16,59430
2021-1-17,59230
2021-1-18,58635
2021-1-19,59045
2021-1-20,59030
2021-1-21,59225
2021-1-22,58970
2021-1-23,58971
2021-1-24,58972
2021-1-25,59055
2021-1-26,58815
2021-1-27,58720
2021-1-28,57925
2021-1-29,58155
2021-1-30,58156
2021-1-31,58157
2021-2-1,57830
2021-2-2,57725
2021-2-3,57205
2021-2-4,57785
2021-2-5,58010
2021-2-6,58011
2021-2-7,58010
2021-2-8,58930
2021-2-9,59340
2021-2-10,60170
2021-2-11,60171
2021-2-12,60172
2021-2-13,60173
2021-2-14,60174
2021-2-15,60175
2021-2-16,60176
2021-2-17,60177
2021-2-18,62630
2021-2-19,63240
2021-2-20,63240
2021-2-21,63241
2021-2-22,67025
2021-2-23,67325
2021-2-24,68120
2021-2-25,69870
2021-2-26,68370
2021-2-27,68371
2021-2-28,68372
2021-3-1,67565
2021-3-2,66145
2021-3-3,67820
2021-3-4,67030
2021-3-5,64625
2021-3-6,64626
2021-3-7,64627
2021-3-8,66445
2021-3-9,66525
2021-3-10,65515
2021-3-11,65485
2021-3-12,66625
2021-3-13,66626
2021-3-14,66627
2021-3-15,67725
2021-3-16,67155
2021-3-17,66080
2021-3-18,67070
2021-3-19,66535
2021-3-20,66536
2021-3-21,66537
2021-3-22,66805
2021-3-23,66735
2021-3-24,66055
2021-3-25,65870
2021-3-26,65610
2021-3-27,65611
2021-3-28,65612
2021-3-29,66235
2021-3-30,66120
2021-3-31,65145
2021-4-1,65460
2021-4-2,65575
2021-4-3,65576
2021-4-4,65577
2021-4-5,65578
2021-4-6,67135
2021-4-7,66915
2021-4-8,66335
2021-4-9,66730
2021-4-10,66731
2021-4-11,66732
2021-4-12,65700
2021-4-13,65660
2021-4-14,66155
2021-4-15,67165
2021-4-16,68555
2021-4-17,68556
2021-4-18,68557
2021-4-19,68165
2021-4-20,68895
2021-4-21,68495
2021-4-22,68795
2021-4-23,69095
2021-4-24,69096
2021-4-25,69095
2021-4-26,69905
2021-4-27,71845
2021-4-28,70925
2021-4-29,72305
2021-4-30,71670
2021-5-1,71671
2021-5-2,71672
2021-5-3,71673
2021-5-4,71674
2021-5-5,71675
2021-5-6,72730
2021-5-7,74120
2021-5-8,74120
2021-5-9,74121
2021-5-10,76920
2021-5-11,75600
2021-5-12,75995
2021-5-13,75875
2021-5-14,74850
2021-5-15,74851
2021-5-16,74852
2021-5-17,74535
2021-5-18,75620
2021-5-19,74830
2021-5-20,72335
2021-5-21,71920
2021-5-22,71921
2021-5-23,71922
2021-5-24,71265
2021-5-25,72305
2021-5-26,71680
2021-5-27,71285
2021-5-28,73370
2021-5-29,73371
2021-5-30,73372
2021-5-31,73555
2021-6-1,73770
2021-6-2,73635
2021-6-3,72915
2021-6-4,71010
2021-6-5,71011
2021-6-6,71012
2021-6-7,71540
2021-6-8,71295
2021-6-9,71715
2021-6-10,71245
2021-6-11,70730
2021-6-12,70731
