date,value
2021-01-01,2830
2021-01-02,2880
2021-01-03,2800
2021-01-04,2800
2021-01-05,2800
2021-01-06,2800
2021-01-07,2800
2021-01-08,2800
2021-01-09,2800
2021-01-10,2800
2021-01-11,2800
2021-01-12,2800
2021-01-13,2800
2021-01-14,2975
2021-01-15,2960
2021-01-16,2935
2021-01-17,2830
2021-01-18,2840
2021-01-19,2770
2021-01-20,2815
2021-01-21,2760
2021-01-22,2710
2021-01-23,2710
2021-01-24,2710
2021-01-25,2710
2021-01-26,2710
2021-01-27,2710
2021-01-28,2710
2021-01-29,2710
2021-01-30,2710
2021-01-31,2710
2021-02-01,2630
2021-02-02,2615
2021-02-03,2615
2021-02-04,2665
2021-02-05,2665
2021-02-06,2665
2021-02-07,2665
2021-02-08,2725
2021-02-09,2725
2021-02-10,2760
2021-02-11,2760
2021-02-12,2830
2021-02-13,2830
2021-02-14,2830
2021-02-15,2830
2021-02-16,2830
2021-02-17,2830
2021-02-18,2830
2021-02-19,2830
2021-02-20,2850
2021-02-21,2850
2021-02-22,2850
2021-02-23,2850
2021-02-24,2850
2021-02-25,2850
2021-02-26,2850
2021-02-27,2850
2021-02-28,2830
2021-03-01,2820
2021-03-02,2820
2021-03-03,2820
2021-03-04,2810
2021-03-05,2770
2021-03-06,2700
2021-03-07,2680
2021-03-08,2680
2021-03-09,2650
2021-03-10,2650
2021-03-11,2640
2021-03-12,2640
2021-03-13,2620
2021-03-14,2620
2021-03-15,2600
2021-03-16,2600
2021-03-17,2600
2021-03-18,2585
2021-03-19,2580
2021-03-20,2580
2021-03-21,2580
2021-03-22,2580
2021-03-23,2580
2021-03-24,2580
2021-03-25,2600
2021-03-26,2600
2021-03-27,2600
2021-03-28,2600
2021-03-29,2600
2021-03-30,2600
2021-03-31,2580
2021-04-01,2580
2021-04-02,2580
2021-04-03,2580
2021-04-04,2620
2021-04-05,2620
2021-04-06,2620
2021-04-07,2620
2021-04-08,2630
2021-04-09,2630
2021-04-10,2630
2021-04-11,2630
2021-04-12,2630
2021-04-13,2630
2021-04-14,2635
2021-04-15,2635
2021-04-16,2635
2021-04-17,2635
2021-04-18,2635
2021-04-19,2635
2021-04-20,2635
2021-04-21,2600
2021-04-22,2600
2021-04-23,2600
2021-04-24,2600
2021-04-25,2600
2021-04-26,2600
2021-04-27,2600
2021-04-28,2600
2021-04-29,2600
2021-04-30,2600
2021-05-01,2600
2021-05-02,2590
2021-05-03,2575
2021-05-04,2575
2021-05-05,2575
2021-05-06,2550
2021-05-07,2550
2021-05-08,2550
2021-05-09,2550
2021-05-10,2550
2021-05-11,2550
2021-05-12,2560
2021-05-13,2560
2021-05-14,2550
2021-05-15,2550
2021-05-16,2560
2021-05-17,2560
2021-05-18,2560
2021-05-19,2550
2021-05-20,2550
2021-05-21,2540
2021-05-22,2540
2021-05-23,2540
2021-05-24,2535
2021-05-25,2500
2021-05-26,2500
2021-05-27,2500
2021-05-28,2500
2021-05-29,2525
2021-05-30,2525
2021-05-31,2525
2021-06-01,2525
2021-06-02,2525
2021-06-03,2525
2021-06-04,2525
2021-06-05,2525
2021-06-06,2525
2021-06-07,2515
2021-06-08,2515
2021-06-09,2515
2021-06-10,2515
2021-06-11,2495
2021-06-12,2495
2021-06-13,2480
2021-06-14,2460
2021-06-15,2460
2021-06-16,2460
2021-06-17,2460
2021-06-18,2450
2021-06-19,2450
2021-06-20,2450
2021-06-21,2450
2021-06-22,2440
2021-06-23,2410
2021-06-24,2410
2021-06-25,2410
2021-06-26,2410
2021-06-27,2405
2021-06-28,2375
2021-06-29,2375
2021-06-30,2375
2021-07-01,2375
2021-07-02,2355
2021-07-03,2355
2021-07-04,2355
2021-07-05,2300
2021-07-06,2300
2021-07-07,2300
2021-07-08,2300
2021-07-09,2300
2021-07-10,2300
2021-07-11,2300
2021-07-12,2360
2021-07-13,2360
2021-07-14,2360
2021-07-15,2300
2021-07-16,2300
2021-07-17,2300
2021-07-18,2310
2021-07-19,2310
2021-07-20,2320
2021-07-21,2320
2021-07-22,2320
2021-07-23,2350
2021-07-24,2360
2021-07-25,2360
2021-07-26,2360
2021-07-27,2360
2021-07-28,2360
2021-07-29,2360
2021-07-30,2360
2021-07-31,2360
2021-08-01,2360
2021-08-02,2380
2021-08-03,2380
2021-08-04,2380
2021-08-05,2380
2021-08-06,2380
2021-08-07,2370
2021-08-08,2370
2021-08-09,2370
2021-08-10,2440
2021-08-11,2380
2021-08-12,2380
2021-08-13,2380
2021-08-14,2380
2021-08-15,2380
2021-08-16,2380
2021-08-17,2350
2021-08-18,2350
2021-08-19,2350
2021-08-20,2340
2021-08-21,2340
2021-08-22,2340
2021-08-23,2320
2021-08-24,2320
2021-08-25,2280
2021-08-26,2260
2021-08-27,2260
2021-08-28,2250
2021-08-29,2220
2021-08-30,2220
2021-08-31,2220
2021-09-01,2220
2021-09-02,2220
2021-09-03,2220
2021-09-04,2200
2021-09-05,2220
2021-09-06,2220
2021-09-07,2220
2021-09-08,2240
2021-09-09,2260
2021-09-10,2260
2021-09-11,2260
2021-09-12,2260
2021-09-13,2260
2021-09-14,2280
2021-09-15,2280
2021-09-16,2300
2021-09-17,2290
2021-09-18,2300
2021-09-19,2290
2021-09-20,2380
2021-09-21,2390
2021-09-22,2390
2021-09-23,2390
2021-09-24,2390
2021-09-25,2340
2021-09-26,2370
2021-09-27,2425
2021-09-28,2425
2021-09-29,2435
2021-09-30,2305
2021-10-01,2330
2021-10-02,2370
2021-10-03,2430
2021-10-04,2630
2021-10-05,2630
2021-10-06,2630
2021-10-07,2630
2021-10-08,2630
2021-10-09,2640
2021-10-10,2640
2021-10-11,2640
2021-10-12,2610
2021-10-13,2610
2021-10-14,2610
2021-10-15,2610
2021-10-16,2610
2021-10-17,2610
2021-10-18,2610
2021-10-19,2610
2021-10-20,2610
2021-10-21,2610
2021-10-22,2610
2021-10-23,2610
2021-10-24,2610
2021-10-25,2610
2021-10-26,2610
2021-10-27,2710
2021-10-28,2710
2021-10-29,2690
2021-10-30,2680
2021-10-31,2640
2021-11-01,2640
2021-11-02,2640
2021-11-03,2640
2021-11-04,2640
2021-11-05,2640
