date,value
2021-1-1,3680
2021-1-2,3730
2021-1-3,3730
2021-1-4,3750
2021-1-5,3750
2021-1-6,3750
2021-1-7,3740
2021-1-8,3740
2021-1-9,3750
2021-1-10,3750
2021-1-11,3750
2021-1-12,3760
2021-1-13,3770
2021-1-14,3770
2021-1-15,3770
2021-1-16,3790
2021-1-17,3790
2021-1-18,3820
2021-1-19,3860
2021-1-20,3870
2021-1-21,3900
2021-1-22,3910
2021-1-23,3930
2021-1-24,4100
2021-1-25,4130
2021-1-26,4130
2021-1-27,4130
2021-1-28,4130
2021-1-29,4130
2021-1-30,4180
2021-1-31,4200
2021-2-1,4230
2021-2-2,4250
2021-2-3,4260
2021-2-4,4220
2021-2-5,4130
2021-2-6,4120
2021-2-7,4130
2021-2-8,4130
2021-2-9,4080
2021-2-10,4080
2021-2-11,4050
2021-2-12,4010
2021-2-13,4060
2021-2-14,4070
2021-2-15,4080
2021-2-16,4140
2021-2-17,4200
2021-2-18,4170
2021-2-19,4160
2021-2-20,4220
2021-2-21,4260
2021-2-22,4380
2021-2-23,4660
2021-2-24,4660
2021-2-25,4490
2021-2-26,4490
2021-2-27,4460
2021-2-28,4470
2021-3-1,4470
2021-3-2,4470
2021-3-3,4480
2021-3-4,4540
2021-3-5,4540
2021-3-6,4500
2021-3-7,4490
2021-3-8,4490
2021-3-9,4460
2021-3-10,4380
2021-3-11,4340
2021-3-12,4310
2021-3-13,4330
2021-3-14,4330
2021-3-15,4300
2021-3-16,4270
2021-3-17,4290
2021-3-18,4290
2021-3-19,4290
2021-3-20,4290
2021-3-21,4300
2021-3-22,4300
2021-3-23,4300
2021-3-24,4300
2021-3-25,4300
2021-3-26,4300
2021-3-27,4300
2021-3-28,4300
2021-3-29,4300
2021-3-30,4300
2021-3-31,4300
2021-4-1,4300
2021-4-2,4460
2021-4-3,4480
2021-4-4,4480
2021-4-5,4640
2021-4-6,4640
2021-4-7,4610
2021-4-8,4630
2021-4-9,4630
2021-4-10,4620
2021-4-11,4610
2021-4-12,4770
2021-4-13,4750
2021-4-14,4660
2021-4-15,4740
2021-4-16,4700
2021-4-17,4640
2021-4-18,4630
2021-4-19,4700
2021-4-20,4700
2021-4-21,4720
2021-4-22,4700
2021-4-23,4720
2021-4-24,4740
2021-4-25,4810
2021-4-26,4750
2021-4-27,4770
2021-4-28,4790
2021-4-29,4830
2021-4-30,4890
2021-5-1,4890
2021-5-2,4890
2021-5-3,4910
2021-5-4,5010
2021-5-5,5090
2021-5-6,5090
2021-5-7,5070
2021-5-8,5090
2021-5-9,5020
2021-5-10,5080
2021-5-11,5100
2021-5-12,5100
2021-5-13,5100
2021-5-14,5100
2021-5-15,5100
2021-5-16,5110
2021-5-17,5150
2021-5-18,5160
2021-5-19,5260
2021-5-20,5270
2021-5-21,5270
2021-5-22,5230
2021-5-23,5260
2021-5-24,5270
2021-5-25,5490
2021-5-26,5510
2021-5-27,5680
2021-5-28,6120
2021-5-29,6080
2021-5-30,6090
2021-5-31,6000
2021-6-1,5730
2021-6-2,5600
2021-6-3,5580
2021-6-4,5370
2021-6-5,5160
2021-6-6,5160
2021-6-7,4960
2021-6-8,4960
2021-6-9,4790
2021-6-10,4770
2021-6-11,4870
2021-6-12,5070
2021-6-13,5070
2021-6-14,5040
2021-6-15,5090
2021-6-16,5110
2021-6-17,5050
2021-6-18,5000
2021-6-19,5030
2021-6-20,5090
2021-6-21,5130
2021-6-22,5120
2021-6-23,5040
2021-6-24,5040
2021-6-25,5040
2021-6-26,4950
2021-6-27,4870
2021-6-28,4890
2021-6-29,4880
2021-6-30,4900
2021-7-1,4900
2021-7-2,4910
2021-7-3,4900
2021-7-4,4920
2021-7-5,4900
2021-7-6,4940
2021-7-7,5010
2021-7-8,5070
2021-7-9,5090
2021-7-10,5080
2021-7-11,5220
2021-7-12,5170
2021-7-13,5250
2021-7-14,5270
2021-7-15,5270
2021-7-16,5350
2021-7-17,5310
2021-7-18,5320
2021-7-19,5280
2021-7-20,5340
2021-7-21,5400
2021-7-22,5400
2021-7-23,5380
2021-7-24,5400
2021-7-25,5420
2021-7-26,5290
2021-7-27,5210
2021-7-28,5270
2021-7-29,5290
2021-7-30,5270
2021-7-31,5270
2021-8-1,5290
2021-8-2,5320
2021-8-3,5320
2021-8-4,5300
