date,value
2020-01-02,6200
2020-01-03,6200
2020-01-06,6200
2020-01-07,6250
2020-01-08,6250
2020-01-09,6250
2020-01-10,6250
2020-01-13,6250
2020-01-14,6250
2020-01-15,6250
2020-01-16,6250
2020-01-17,6250
2020-01-19,6250
2020-01-20,6250
2020-01-21,6250
2020-01-22,6250
2020-01-23,6250
2020-02-03,6250
2020-02-04,6250
2020-02-05,6250
2020-02-06,6850
2020-02-07,6850
2020-02-10,6850
2020-02-11,6850
2020-02-12,6850
2020-02-13,6850
2020-02-14,6850
2020-02-17,6850
2020-02-18,6850
2020-02-19,6850
2020-02-20,6500
2020-02-21,6475
2020-02-24,6450
2020-02-25,6450
2020-02-26,6300
2020-02-27,6300
2020-02-28,6300
2020-03-02,6200
2020-03-03,6200
2020-03-04,6200
2020-03-05,6100
2020-03-06,6100
2020-03-09,6000
2020-03-10,6000
2020-03-11,5950
2020-03-12,5875
2020-03-13,5800
2020-03-16,5800
2020-03-17,5800
2020-03-18,5850
2020-03-19,5950
2020-03-20,6050
2020-03-23,6050
2020-03-24,6050
2020-03-25,6150
2020-03-26,6150
2020-03-27,6575
2020-03-30,6800
2020-03-31,7050
2020-04-01,7050
2020-04-02,6950
2020-04-03,6950
2020-04-07,6900
2020-04-08,6700
2020-04-09,6500
2020-04-10,6600
2020-04-13,6800
2020-04-14,6950
2020-04-15,6950
2020-04-16,6950
2020-04-17,6950
2020-04-20,7000
2020-04-21,7025
2020-04-22,7125
2020-04-23,7125
2020-04-24,7225
2020-04-26,7225
2020-04-27,7275
2020-04-28,7275
2020-04-29,7275
2020-04-30,7275
2020-05-06,7275
2020-05-07,7275
2020-05-08,7200
2020-05-09,7200
2020-05-11,7150
2020-05-12,7125
2020-05-13,7125
2020-05-14,7125
2020-05-15,7125
2020-05-18,7125
2020-05-19,7025
2020-05-20,7025
2020-05-21,7025
2020-05-22,7025
2020-05-25,7025
2020-05-26,7025
2020-05-27,7025
2020-05-28,6900
2020-05-29,6900
2020-06-01,6900
2020-06-02,6900
2020-06-03,6800
2020-06-04,6800
2020-06-05,6775
2020-06-08,6775
2020-06-09,6550
2020-06-10,6550
2020-06-11,6550
2020-06-12,6550
2020-06-15,6600
2020-06-16,6675
