date,value
2021-1-1,420.0
2021-1-2,420.0
2021-1-3,420.0
2021-1-4,420.0
2021-1-5,425.0
2021-1-6,425.0
2021-1-7,425.0
2021-1-8,425.0
2021-1-9,425.0
2021-1-10,425.0
2021-1-11,430.0
2021-1-12,430.0
2021-1-13,430.0
2021-1-14,430.0
2021-1-15,430.0
2021-1-16,430.0
2021-1-17,430.0
2021-1-18,430.0
2021-1-19,430.0
2021-1-20,430.0
2021-1-21,430.0
2021-1-22,430.0
2021-1-23,430.0
2021-1-24,430.0
2021-1-25,430.0
2021-1-26,435.0
2021-1-27,435.0
2021-1-28,435.0
2021-1-29,435.0
2021-1-30,435.0
2021-1-31,435.0
2021-2-1,435.0
2021-2-2,435.0
2021-2-3,435.0
2021-2-4,435.0
2021-2-5,440.0
2021-2-6,450.0
2021-2-7,450.0
2021-2-8,450.0
2021-2-9,450.0
2021-2-10,450.0
2021-2-11,445.0
2021-2-12,445.0
2021-2-13,445.0
2021-2-14,445.0
2021-2-15,445.0
2021-2-16,445.0
2021-2-17,445.0
2021-2-18,445.0
2021-2-19,445.0
2021-2-20,435.0
2021-2-21,430.0
2021-2-22,430.0
2021-2-23,425.0
2021-2-24,425.0
2021-2-25,415.0
2021-2-26,410.0
2021-2-27,405.0
2021-2-28,400.0
2021-3-1,395.0
2021-3-2,395.0
2021-3-3,395.0
2021-3-4,395.0
2021-3-5,385.0
2021-3-6,385.0
2021-3-7,385.0
2021-3-8,380.0
2021-3-9,370.0
2021-3-10,370.0
2021-3-11,370.0
2021-3-12,370.0
2021-3-13,370.0
2021-3-14,370.0
2021-3-15,370.0
2021-3-16,360.0
2021-3-17,355.0
2021-3-18,355.0
2021-3-19,355.0
2021-3-20,355.0
2021-3-21,355.0
2021-3-22,355.0
2021-3-23,355.0
2021-3-24,355.0
2021-3-25,355.0
2021-3-26,355.0
2021-3-27,355.0
2021-3-28,350.0
2021-3-29,350.0
2021-3-30,350.0
2021-3-31,350.0
2021-4-1,350.0
2021-4-2,350.0
2021-4-3,355.0
2021-4-4,365.0
2021-4-5,370.0
2021-4-6,370.0
2021-4-7,370.0
2021-4-8,370.0
2021-4-9,375.0
2021-4-10,380.0
2021-4-11,380.0
2021-4-12,380.0
2021-4-13,380.0
2021-4-14,385.0
2021-4-15,390.0
